genes	enzymes	shortNames	MWs	actions	k_scores
YHR002W		LEU5	NaN	1	9.26019418292402
YHR137W	P38840	ARO9	58.52706	1	5.86171487796945
YGR248W	P53315	SOL4	28.44737	1	5.60442398621721
YGR256W	P53319	GND2	53.92235	1	5.60442398621721
YHR163W	P38858	SOL3	27.78417	1	5.60442398621721
YHR183W	P38720	GND1	53.54274	1	5.60442398621721
YNL241C	P11412	ZWF1	57.5209	1	5.60442398621721
YPR021C		AGC1	NaN	1	4.17924360375218
YOL126C	P22133	MDH2	40.7305	1	3.85624735338553
YBR221C	P32473	PDB1	40.0532	1	3.52976819738561
YER178W	P16387	PDA1	46.34261	1	3.52976819738561
YGR193C	P16451	PDX1	45.36125	1	3.52976819738561
YNL071W	P12695	LAT1	51.81762	1	3.52976819738561
YCR053W	P16120	THR4	57.47349	1	3.18706441106827
YER052C	P10869	HOM3	58.10913	1	3.18706441106827
YHR025W	P17423	THR1	38.71215	1	3.18706441106827
YJR139C	P31116	HOM6	38.50163	1	3.18706441106827
YDR158W	P13663	HOM2	39.54334	1	3.18706441106827
YOR095C	Q12189	RKI1	28.25777	1	2.98362544241115
YGR087C	P26263	PDC6	61.57964	1	2.8334156536697
YLR044C	P06169	PDC1	61.49468	1	2.8334156536697
YLR134W	P16467	PDC5	61.91138	1	2.8334156536697
YNR001C	P00890	CIT1	53.35945	1	2.72351838873607
YPR001W	P43635	CIT3	53.81073	1	2.72351838873607
YKL085W	P17505	MDH1	35.64959	1	2.5474852667492
YGL080W		MPC1	NaN	1	2.46042968680693
YGR243W		MPC3	NaN	1	2.46042968680693
YHR162W		MPC2	NaN	1	2.46042968680693
YBR218C	P32327	PYC2	130.16549	1	2.45330319929326
YGL062W	P11154	PYC1	130.09827	1	2.45330319929326
YAL038W	P00549	CDC19	54.54404	1	2.36561367992641
YOR347C	P52489	PYK2	55.19478	1	2.36561367992641
YHR174W	P00925	ENO2	46.91368	1	2.20510876911546
YKL152C	P00950	GPM1	27.60828	1	2.20510876911546
YMR323W	P42222	ERR3	47.31216	1	2.20510876911546
YOR393W	P0CX10	ERR1	47.32712	1	2.20510876911546
YPL281C	P0CX11	ERR2	47.32712	1	2.20510876911546
YOR283W	Q12040	YOR283W	26.17622	1	2.20510876911546
YGR254W	P00924	ENO1	46.81564	1	2.20510876911546
YNL036W	P53615	NCE103	24.85889	1	1.69432143499811
YCR012W	P00560	PGK1	44.73787	1	1.17093905635755
YGR192C	P00359	TDH3	35.74626	1	1.17093905635755
YJL052W	P00360	TDH1	35.74956	1	1.17093905635755
YJR009C	P00358	TDH2	35.84645	1	1.17093905635755
YDR050C	P00942	TPI1	26.79508	1	1.06676923323887
YGR240C	P16861	PFK1	107.96906	1	1.06002676830617
YKL060C	P14540	FBA1	39.62024	1	1.06002676830617
YMR205C	P16862	PFK2	104.61673	1	1.06002676830617
YLR058C	P37291	SHM2	52.21793	0	0.00472372994907989
YGR204W	P07245	ADE3	102.20412	0	0.00186849877521316
YAL044C	P39726	GCV3	18.79276	0	0
YBR263W	P37292	SHM1	53.68589	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YDR019C	P48015	GCV1	44.46849	0	0
YDR148C	P19262	KGD2	50.43011	0	0
YER070W	P21524	RNR1	99.56021	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR180C	P49723	RNR4	40.05407	0	0
YIL066C	P21672	RNR3	97.51369	0	0
YIL125W	P20967	KGD1	114.41496	0	0
YJL026W	P09938	RNR2	46.14681	0	0
YKL029C	P36013	MAE1	74.37529	0	0
YLR438W	P07991	CAR2	46.08557	0	0
YMR189W	P49095	GCV2	114.45033	0	0
YMR246W	P47912	FAA4	77.26612	0	0
YOR317W	P30624	FAA1	77.86529	0	0
YOR388C	Q08911	FDH1	41.7138	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
